web_scraper_order,web_scraper_start_url,player_name,class,combat_power,game_days,participation_rate,days_stayed,phone,battle_days,alliance
"1785600514-1","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","駆逐艦RESBACK","Warrior","637815","65","13.85%","4","2026-07-29","9","未知"
"1785600514-2","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","駆逐艦RESBECK","Taoist","551140","22","18.18%","5","2026-07-28","4","未知"
"1785600514-3","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","駆逐艦RESGO","Warrior","434197","16","6.25%","5","2026-07-28","1","未知"
"1785600514-4","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","駆逐艦RESQQQQ","Arbalist","429431","4","0%","4","2026-07-29","0","未知"
"1785600514-5","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","QQpakQQ","Lancer","420424","14","21.43%","9","2026-07-24","3","未知"
"1785600514-6","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Blood Wyrm","Arbalist","415706","117","78.63%","117","2026-04-07","92","未知"
"1785600514-7","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","支持 SkyWalker","Taoist","402307","210","46.67%","7","2026-07-26","98","未知"
"1785600514-8","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","假道教徒","Taoist","382231","11","0%","11","2026-07-22","0","未知"
"1785600514-9","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Friendly 웃","Warrior","376846","46","73.91%","98","2026-04-26","34","未知"
"1785600514-10","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","CeiLith","Arbalist","364282","14","0%","11","2026-07-22","0","未知"
"1785600514-11","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","JOKOBOX","Arbalist","360414","72","83.33%","73","2026-05-21","60","未知"
"1785600514-12","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","BeshKwet","Taoist","341263","218","0%","11","2026-07-22","0","未知"
"1785600514-13","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Oaatside","Arbalist","335603","85","85.88%","85","2026-05-09","73","未知"
"1785600514-14","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Saeyiii","Arbalist","335245","108","84.26%","108","2026-04-16","91","未知"
"1785600514-15","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Mirmõ","Arbalist","328715","114","79.82%","119","2026-04-05","91","未知"
"1785600514-16","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","mosh×mosh","Arbalist","327771","155","30.32%","8","2026-07-25","47","未知"
"1785600514-17","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","亗Quirkless","Lionheart","327527","83","86.75%","2","2026-07-31","72","未知"
"1785600514-18","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","DryadNoir","Sorcerer","318417","43","62.79%","5","2026-07-28","27","未知"
"1785600514-19","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","RaDioWang","Arbalist","318383","138","2.17%","11","2026-07-22","3","未知"
"1785600514-20","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","LEGIONNNNN","Taoist","317079","50","84.0%","57","2026-06-06","42","未知"
"1785600514-21","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Abashirii","Arbalist","310538","84","89.29%","87","2026-05-07","75","未知"
"1785600514-22","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","ĐєคtђTђяєคtッ","Arbalist","307612","21","38.1%","9","2026-07-24","8","未知"
"1785600514-23","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Dice for you","Arbalist","305160","88","89.77%","91","2026-05-03","79","未知"
"1785600514-24","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","'Su mucheng","Taoist","301555","104","87.5%","109","2026-04-15","91","未知"
"1785600514-25","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","YUMMYTEE3HH","Arbalist","291703","1","0%","0","2026-08-01","0","未知"
"1785600514-26","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","RTChicken","Arbalist","284807","9","0%","11","2026-07-22","0","未知"
"1785600514-27","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","예쁜Chiyo","Arbalist","265630","3","0%","3","2026-07-30","0","未知"
"1785600514-28","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","sans4x","Taoist","262899","19","57.89%","38","2026-06-25","11","未知"
"1785600514-29","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","Sikpat","Lancer","261926","49","83.67%","79","2026-05-15","41","未知"
"1785600514-30","https://www.hofgamer.com/clan/detail?clan=Zenith%20X","勇敢な心 Ukyo","Arbalist","254003","12","41.67%","37","2026-06-26","5","未知"
